Variable Name,Nom de la variable,"Variable Code (2011-2012, 2012-2013) / Code de la variable (2011-2012, 2012-2013)",Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (2013-2018) / Code de la variable (2013-2018),Detection Limit (DL) /  Limite de détection de la méthode (DL),Variable Code / Code de la variable,Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (Metal45) / Code de la variable (Métaux45),Variable Code (Metals34) / Code de la variable (Métaux34),Detection Limit (DL) /  Limite de détection de la méthode (LD),Unit / Unité,Laboratory / Laboratoire ,,Notes/ Remarques
"C2-1,6-dimethylnaphthalene (5pks)",Naphthalène-C2,,,,,109660,3.4,,,,ng/L,NLET Burlington,,
C3-2-Isopropylnaphthalene,2-isopropylnaphtalène-C3,,,,,109661,0.23,,,,ng/L,NLET Burlington,,
C3-Trimethylnaphthalene, triméthylnaphtalène-C3,,,,,109662,0.46,,,,ng/L,NLET Burlington,,
9-methylfluorene,9-méthylfluorène,,,,,109663,0.31,,,,ng/L,NLET Burlington,,
9-ethylfluorene,9-éthylfluorène,,,,,109664,0.17,,,,ng/L,NLET Burlington,,
C1-methylfluorene (3pks),Fluorène-C1,,,,,109665,4.86,,,,ng/L,NLET Burlington,,
C4-tetramethylnaphthalene,Naphtalènes alkylés-C3,,,,,109666,0.69,,,,ng/L,NLET Burlington,,
C3-N-propylfluorene,n-propylfluorène-C3,,,,,109667,0.23,,,,ng/L,NLET Burlington,,
"C2-1,9-dimethylfluorene","1,9-diméthylfluorène-C2",,,,,109668,1.15,,,,ng/L,NLET Burlington,,
C4-N-butylfluorene,n-butylfluorène-C4,,,,,109669,0.49,,,,ng/L,NLET Burlington,,
C1-methyldibenzothiophene (3pks),Dibenzothiophène-C1,,,,,109670,0.69,,,,ng/L,NLET Burlington,,
C1-methylphenanthrene (4pks),Phénanthrène-C1,,,,,109671,2.73,,,,ng/L,NLET Burlington,,
C2-dimethyldibenzothiophene,Dibenzothiophène-C2,,,,,109672,0.45,,,,ng/L,NLET Burlington,,
C3-4-propyldibenzothiophene,4-propyldibenzothiophène-C3,,,,,109674,0.12,,,,ng/L,NLET Burlington,,
"C3-2,4,7-trimethyldibenzothiophene","2,4,7-triméthyldibenzothiophène-C3",,,,,109675,0.19,,,,ng/L,NLET Burlington,,
C1-methylfluoranthene (2pks),Fluoranthène/pyrène-C1,,,,,109676,1.47,,,,ng/L,NLET Burlington,,
C3-trimethylphenanthrene (2pks),Phénanthrène/anthracène-C3,,,,,109677,2.48,,,,ng/L,NLET Burlington,,
C2-3-ethylfluoranthene,3-éthylfluoranthène-C2,,,,,109678,0.46,,,,ng/L,NLET Burlington,,
C4-tetramethylphenanthrene,Tétraméthylphénanthrène-C4,,,,,109679,0.15,,,,ng/L,NLET Burlington,,
C1-methylchrysene (5pks),Chrysène-C1,,,,,109680,0.95,,,,ng/L,NLET Burlington,,
C3-N-propylchrysene,n-propylchrysène-C3,,,,,109682,0.46,,,,ng/L,NLET Burlington,,
C4-N-butylchrysene,n-butylchrysène-C4,,,,,109683,0.18,,,,ng/L,NLET Burlington,,
C2-dimethylphenanthrene,Phénanthrène/anthracène-C2,,,,,109673,1.22,,,,ng/L,NLET Burlington,,
C2-ethylchrysene,Chrysène-C2,,,,,109681,0.51,,,,ng/L,NLET Burlington,,
3-methylcholanthrene,3-méthylcholanthrène,,,,,109684,0.34,,,,ng/L,NLET Burlington,,
C1-Naphthalenes,Naphtalène-C1,,,,,1358,3.53,,,,ng/L,NLET Burlington,,
Biphenyl,Biphényle,,,,,1359,0.77,,,,ng/L,NLET Burlington,,
C2-Naphthalenes,Naphtalène-C2,,,,,1360,5.6,,,,ng/L,NLET Burlington,,
C3-Naphthalene (Iso),Naphtalène-C3 (iso),,,,,1361,0.63,,,,ng/L,NLET Burlington,,
C3-Naphthalene (Trimethyl),Naphtalène-C3 (triméthyl),,,,,1362,1.08,,,,ng/L,NLET Burlington,,
C1-Fluorene (9 methyl),Fluorène-C1 (9 méthyl),,,,,1363,1.12,,,,ng/L,NLET Burlington,,
C2-Fluorene (9 ethyl),Fluorène-C2 (9 éthyl),,,,,1364,0.85,,,,ng/L,NLET Burlington,,
C1-Fluorenes,Fluorène-C1,,,,,1365,2.66,,,,ng/L,NLET Burlington,,
C4-Naphthalenes,Naphtalène-C4,,,,,1366,2.36,,,,ng/L,NLET Burlington,,
C3-Fluorene (npropyl),Fluorène-C3 (npropyl),,,,,1367,1.34,,,,ng/L,NLET Burlington,,
C2-Fluorene (dimethyl),Fluorène-C2 (diméthyl),,,,,1368,1.46,,,,ng/L,NLET Burlington,,
C4-Fluorene (nbutyl),Fluorène-C4 (nbutyl),,,,,1369,0.88,,,,ng/L,NLET Burlington,,
C1-Dibenzothiophenes,Dibenzothiophène-C1,,,,,1370,5.29,,,,ng/L,NLET Burlington,,
C1-Phenanthrenes,Phénanthrène-C1,,,,,1371,7.09,,,,ng/L,NLET Burlington,,
C2-Dibenzothiophenes,Dibenzothiophène-C2,,,,,1372,3.2,,,,ng/L,NLET Burlington,,
C3-Dibenzothiophene (4propyl),Dibenzothiophène-C3 (4propyl),,,,,1373,1.04,,,,ng/L,NLET Burlington,,
"C3-Dibenzothiophene (2,4,7)","Dibenzothiophène-C3 (2,4,7)",,,,,1374,5.46,,,,ng/L,NLET Burlington,,
C1-Fluoranthenes,Fluoranthène-C1,,,,,1375,4.33,,,,ng/L,NLET Burlington,,
C3-Phenanthrenes,Phénanthrène-C3,,,,,1376,2.53,,,,ng/L,NLET Burlington,,
C2-Fluoranthene (3ethyl),Fluoranthène-C2 (3éthyl),,,,,1377,1.89,,,,ng/L,NLET Burlington,,
C4-Phenanthrene (tetramethyl),Phénanthrène-C4 (tetraméthyl),,,,,1378,1.62,,,,ng/L,NLET Burlington,,
